province,U_R,COICOP,Products,Weight,Date,CPI,Source
0,0,0,GENERAL INDEX (CPI),10000,2/10/2021,137.5345635,rwanda
0,0,0,GENERAL INDEX (CPI),10000,3/10/2021,139.4250211,rwanda
0,0,0,GENERAL INDEX (CPI),10000,4/10/2021,138.2154853,rwanda
0,0,0,GENERAL INDEX (CPI),10000,5/10/2021,135.9385557,rwanda
0,0,0,GENERAL INDEX (CPI),10000,6/10/2021,135.9393517,rwanda
0,0,0,GENERAL INDEX (CPI),10000,7/10/2021,135.5834767,rwanda
0,0,0,GENERAL INDEX (CPI),10000,8/10/2021,136.2277032,rwanda
0,0,0,GENERAL INDEX (CPI),10000,9/10/2021,136.4881746,rwanda
0,0,0,GENERAL INDEX (CPI),10000,10/10/2021,136.3426873,rwanda
0,0,0,GENERAL INDEX (CPI),10000,11/10/2021,135.1533363,rwanda
0,0,0,GENERAL INDEX (CPI),10000,12/10/2021,135.2681181,rwanda
0,0,0,GENERAL INDEX (CPI),10000,1/10/2022,138.700281,rwanda
0,0,0,GENERAL INDEX (CPI),10000,2/10/2022,143.302858,rwanda
0,0,0,GENERAL INDEX (CPI),10000,3/10/2022,147.2908851,rwanda
0,0,0,GENERAL INDEX (CPI),10000,4/10/2022,152.7956872,rwanda
0,0,0,GENERAL INDEX (CPI),10000,5/10/2022,156.0421236,rwanda
0,0,0,GENERAL INDEX (CPI),10000,6/10/2022,157.8734546,rwanda
0,0,0,GENERAL INDEX (CPI),10000,7/10/2022,162.1559734,rwanda
0,0,0,GENERAL INDEX (CPI),10000,8/10/2022,163.985681,rwanda
0,0,0,GENERAL INDEX (CPI),10000,9/10/2022,169.1053104,rwanda
0,0,0,GENERAL INDEX (CPI),10000,10/10/2022,178.6560568,rwanda
0,0,0,GENERAL INDEX (CPI),10000,11/10/2022,180.900653,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,2/1/2009,74.83668609,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,3/1/2009,77.90264756,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,4/1/2009,77.55517528,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,5/1/2009,78.27625758,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,6/1/2009,75.0921074,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,7/1/2009,78.72787007,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,8/1/2009,78.96481229,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,9/1/2009,81.15428595,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,10/1/2009,84.00290476,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,11/1/2009,88.56726752,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,12/1/2009,86.89449755,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,1/1/2010,82.54578803,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,2/1/2010,78.86224871,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,3/1/2010,79.62831303,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,4/1/2010,78.0895703,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,5/1/2010,77.77286254,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,6/1/2010,76.4867553,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,7/1/2010,74.38705643,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,8/1/2010,75.62080341,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,9/1/2010,79.82919586,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,10/1/2010,79.94887066,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,11/1/2010,79.20012755,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,12/1/2010,76.28866838,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,1/1/2011,73.33882939,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,2/1/2011,73.18755167,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,3/1/2011,75.36861945,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,4/1/2011,79.82956194,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,5/1/2011,79.43379942,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,6/1/2011,80.79320164,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,7/1/2011,81.17251034,rwanda
